Most searched Rugby Union teams globally in the month leading up to the Rugby World Cup,,
Country,Most searched team,Second most searched team
Afghanistan,England,Ireland
Aland Islands,Georgia,England
Albania,New Zealand,England
Algeria,France,New Zealand
American Samoa,Samoa,New Zealand
Angola,South Africa,England
Antigua and Barbuda,New Zealand,England
Argentina,Argentina,New Zealand
Armenia,France,France
Australia,New Zealand,Australia
Austria,New Zealand,Australia
Azerbaijan,England,South Africa
Bahrain,France,Ireland
Bangladesh,New Zealand,Wales
Barbados,New Zealand,England
Belarus,New Zealand,Wales
Belgium,New Zealand,France
Belize,Scotland,Scotland
Benin,South Africa,New Zealand
Bermuda,Ireland,New Zealand
Bolivia,New Zealand,Argentina
Bosnia and Herzegovina,New Zealand,France
Botswana,South Africa,New Zealand
Brazil,New Zealand,Argentina
British Virgin Islands,Italy,Wales
Brunei Darussalam,New Zealand,France
Bulgaria,New Zealand,Ireland
Burundi,South Africa,England
Cambodia,New Zealand,Australia
Cameroon,Australia,Australia
Canada,New Zealand,England
Cayman Islands,Fiji,Australia
Chile,Argentina,New Zealand
China,France,France
Colombia,New Zealand,Argentina
Congo,France,England
Cook Islands,New Zealand,Samoa
Costa Rica,New Zealand,France
Côte d'Ivoire,France,New Zealand
Croatia,New Zealand,France
Curaçao,Australia,England
Cyprus,England,South Africa
Czech Republic,New Zealand,Australia
Democratic Republic of the Congo,South Africa,France
Denmark,New Zealand,Australia
Djibouti,France,England
Dominica,New Zealand,South Africa
Dominican Republic,New Zealand,Argentina
Ecuador,New Zealand,South Africa
Egypt,Fiji,Ireland
El Salvador,USA,USA
Estonia,France,New Zealand
Falkland Islands (Islas Malvinas),Scotland,England
Fiji,Fiji,New Zealand
Finland,New Zealand,South Africa
France,France,New Zealand
French Guiana,France,South Africa
French Polynesia,Australia,New Zealand
Gabon,New Zealand,France
Georgia,Georgia,New Zealand
Germany,New Zealand,England
Ghana,New Zealand,Argentina
Gibraltar,Scotland,England
Greece,New Zealand,England
Grenada,South Africa,New Zealand
Guadeloupe,New Zealand,France
Guam,New Zealand,England
Guatemala,New Zealand,Argentina
Guernsey,England,New Zealand
Guinea,France,England
Haiti,England,England
Honduras,New Zealand,France
Hong Kong,New Zealand,Australia
Hungary,New Zealand,South Africa
Iceland,New Zealand,France
India,New Zealand,South Africa
Indonesia,New Zealand,Australia
Iran,New Zealand,England
Iraq,France,England
Ireland,Ireland,England
Isle of Man,England,Ireland
Israel,South Africa,New Zealand
Italy,New Zealand,Italy
Jamaica,England,England
Japan,Japan,New Zealand
Jersey,England,Wales
Jordan,New Zealand,England
Kazakhstan,New Zealand,South Africa
Kenya,New Zealand,South Africa
Kosovo,New Zealand,England
Kuwait,South Africa,New Zealand
Kyrgyzstan,New Zealand,Argentina
Laos,New Zealand,England
Latvia,New Zealand,Australia
Lebanon,New Zealand,Australia
Lesotho,South Africa,Japan
Libya,New Zealand,England
Liechtenstein,New Zealand,England
Lithuania,New Zealand,Samoa
Luxembourg,New Zealand,France
Macau,New Zealand,England
Macedonia (FYROM),New Zealand,England
Madagascar,New Zealand,France
Malawi,South Africa,New Zealand
Malaysia,New Zealand,Australia
Maldives,Scotland,Australia
Mali,France,New Zealand
Malta,England,USA
Martinique,France,New Zealand
Mauritania,France,England
Mauritius,New Zealand,South Africa
Mayotte,France,England
Mexico,Argentina,New Zealand
Micronesia,Australia,Australia
Moldova,New Zealand,England
Monaco,New Zealand,England
Mongolia,England,New Zealand
Montenegro,Ireland,England
Morocco,France,New Zealand
Mozambique,Argentina,South Africa
Myanmar (Burma),Australia,Fiji
Namibia,South Africa,New Zealand
Nepal,New Zealand,Australia
Netherlands,New Zealand,South Africa
New Caledonia,France,New Zealand
New Zealand,New Zealand,Australia
Nicaragua,England,England
Niger,France,New Zealand
Nigeria,South Africa,Australia
Norway,New Zealand,Ireland
Oman,South Africa,New Zealand
Pakistan,New Zealand,Wales
Panama,New Zealand,Argentina
Papua New Guinea,New Zealand,South Africa
Paraguay,Argentina,New Zealand
Peru,South Africa,Argentina
Philippines,New Zealand,Australia
Poland,New Zealand,England
Portugal,England,New Zealand
Puerto Rico,Argentina,New Zealand
Qatar,New Zealand,South Africa
Reunion,France,New Zealand
Romania,New Zealand,Romania
Russia,New Zealand,South Africa
Rwanda,England,South Africa
Saint Barthélemy,England,New Zealand
Saint Helena,New Zealand,Ireland
Saint Kitts and Nevis,New Zealand,England
Saint Vincent and the Grenadines,Fiji,England
Samoa,Samoa,New Zealand
Saudi Arabia,New Zealand,South Africa
Senegal,New Zealand,France
Serbia,England,New Zealand
Seychelles,Ireland,England
Sierra Leone,South Africa,England
Singapore,New Zealand,Australia
Sint Maarten,New Zealand,England
Slovakia,New Zealand,England
Slovenia,England,New Zealand
Solomon Islands,New Zealand,Australia
South Africa,South Africa,New Zealand
South Korea,New Zealand,Ireland
Spain,New Zealand,England
Sri Lanka,New Zealand,Australia
Sudan,New Zealand,England
Suriname,South Africa,England
Sweden,New Zealand,England
Switzerland,New Zealand,France
Syria,New Zealand,England
Taiwan,New Zealand,Australia
Tanzania,South Africa,France
Thailand,New Zealand,Ireland
The Bahamas,Australia,Italy
The Gambia,Namibia,England
Timor-Leste,England,USA
Tonga,Tonga,New Zealand
Trinidad and Tobago,New Zealand,England
Tunisia,France,New Zealand
Turkey,New Zealand,England
Tuvalu,Fiji,Fiji
Uganda,South Africa,New Zealand
Ukraine,New Zealand,Ireland
United Arab Emirates,New Zealand,England
United Kingdom,England,New Zealand
United States,New Zealand,Australia
Uruguay,Uruguay,Argentina
Vanuatu,New Zealand,Australia
Venezuela,New Zealand,Australia
Vietnam,New Zealand,South Africa
Wallis and Futuna,New Zealand,England
Yemen,England,Argentina
Zambia,South Africa,New Zealand
Zimbabwe,New Zealand,South Africa
